CellNum,cycle_lives,SurfFit_p1,SurfFit_p2,SurfFit_p3,slope_2pt9V,int_2pt9V,slope_2pt9V_corr,int_2pt9V_corr,heatmap_mean_abs,heatmap_mean,heatmap_var,heatmap_mean_abs_corr,heatmap_mean_corr,heatmap_var_corr,DeltaQ_min,DeltaQ_mean,DeltaQ_var,DeltaQ_skew,DeltaQ_kurt,DeltaQ_2V,Q_cycle2,Q_lastcycle,Qmax_minus_Q2,chargetime,Tmax,Tmin,Qlinfit_allcycles_int,Qlinfit_allcycles_slope,Qlinfit_last10cycles_int,Qlinfit_last10cycles_slope,IR_min,IR_cycle2,IR_diff,log_SurfFit_p1,log_SurfFit_p2,log_SurfFit_p3,log_slope_2pt9V,log_int_2pt9V,log_slope_2pt9V_corr,log_int_2pt9V_corr,log_heatmap_mean_abs,log_heatmap_mean,log_heatmap_var,log_heatmap_mean_abs_corr,log_heatmap_mean_corr,log_heatmap_var_corr,log_DeltaQ_min,log_DeltaQ_mean,log_DeltaQ_var,log_DeltaQ_skew,log_DeltaQ_kurt,log_DeltaQ_2V,log_Q_cycle2,log_Q_lastcycle,log_Qmax_minus_Q2,log_chargetime,log_Tmax,log_Tmin,log_Qlinfit_allcycles_int,log_Qlinfit_allcycles_slope,log_Qlinfit_last10cycles_int,log_Qlinfit_last10cycles_slope,log_IR_min,log_IR_cycle2,log_IR_diff
11,880,0.00017167246169647,-0.000397401654759461,0.000559653883876798,-2.96082135428776e-05,0.949993713914835,-2.96082135428946e-05,0.000393152063577029,0.744716528328955,0.744711559415616,0.180551201594846,0.000859297930090444,-0.000307318798691508,2.37492837345233e-06,-0.00497344811812006,-0.00139567974405377,3.20573466604438e-06,-0.645024509912806,1.8474477379559,0.000655827626655947,1.0709661,1.076317,0.00535090000000005,10.764334,36.630051,29.769632,0.000139679605911359,1.07254366768473,6.56812121212122e-05,1.07442214909091,0.016649306,0.017121186,-6.81150000000005e-05,-3.76529936524942,-3.4007703288432,-3.25208047798334,-4.52858779564603,-0.0222792684176071,-4.52858779564578,-3.40543944046633,-0.128009007265261,-0.128011904983736,-0.743399616933778,-3.06585623435134,-3.51241087313678,-5.6243494839269,-2.30334240815991,-2.85521422451118,-5.49407242641153,-0.19042378254668,0.266572161579231,-3.18321029268111,0.0297757240382553,0.0319401998388185,-2.27157316523841,1.03198716476122,1.56383752333294,1.47377346610937,-3.85486699894466,0.0304149831396949,-4.18255884107899,0.0311749526844961,-1.77860386465929,-1.76646615464629,-4.16675723904335
12,719,0.000295002618629251,-0.000316936072401986,0.000797271789223233,-4.7472388466904e-05,0.948078162045261,-4.74723884669139e-05,0.000681340054433403,0.741219793637494,0.741215168367497,0.177961111883195,0.00111583395239459,-0.000346386108512783,4.27919411485054e-06,-0.00637287591768565,-0.00121858729647102,5.75517770296894e-06,-0.839506575427298,2.24775409212182,0.00150599694039921,1.0611236,1.0679092,0.00678559999999995,10.7977056666667,36.870113,29.44138,0.000165733842364547,1.06351284128079,7.29642424242551e-05,1.06580938181818,0.016542939,0.017168047,-0.000253296,-3.53017412893307,-3.49902832832761,-3.09839360277161,-4.32355891717775,-0.0231558568121013,-4.32355891717766,-3.16663607912449,-0.130052991737434,-0.130055701777724,-0.749674889487112,-2.9524004280903,-3.46043953327483,-5.36863801239517,-2.19566453731631,-2.91414335362111,-5.23994126209026,-0.0759758979051961,0.351748796987688,-2.82217591045211,0.025765973601228,0.0285343279590512,-2.16841174488437,1.0333314849166,1.56667446863951,1.46895816274219,-3.78058880086566,0.0267427381162446,-4.13688992237867,0.0276795388115674,-1.78138733165805,-1.76527910643284,-3.59637166844729
13,862,7.91494030871153e-05,-0.00043190602862191,0.000444623732042043,-0.00012122265794625,0.955893881606057,-0.000121222657946251,0.0022373407831544,0.751265964284136,0.751262383269583,0.183373914330087,0.000932914747759732,-0.000185716406707841,2.95661376604383e-06,-0.00606666674098033,-0.0018236346905584,4.16377044491306e-06,-0.743977449302941,2.124319144601,-4.34452622195547e-05,1.0811664,1.0867822,0.00561579999999995,10.1131076666667,35.669975,29.600582,0.000133920394088716,1.08309441162562,7.29824242424606e-05,1.08466319818182,0.016328048,0.01683085,-1.48190000000027e-05,-4.10155235606315,-3.36461073394982,-3.35200736030586,-3.91641619781541,-0.0195903181747083,-3.91641619781541,-2.65026786079765,-0.124206286201394,-0.124208356331867,-0.73666244439255,-3.03015804142946,-3.73114972777376,-5.52920540534593,-2.2170498614147,-2.73906215491338,-5.38051322182616,-0.128440228152672,0.327219763034295,-4.36205757719211,0.0338925404290778,0.0361425166568906,-2.25058836748136,1.00488463087262,1.55230280495467,1.47130025014352,-3.87315328134676,0.0346663150379898,-4.1367817148596,0.0352949051169743,-1.78706573158299,-1.77389395051331,-4.82918110196625
14,857,-5.70982468343476e-05,-0.000389303696765088,0.000484348133276844,-7.1928745520023e-05,0.949876559511588,-7.19287455200209e-05,0.000725971624503788,0.744859371696392,0.744853786388764,0.181084134205924,0.000718272071055778,-0.000341240021307246,1.69023319685074e-06,-0.00459423788448432,-0.00097133608377316,3.30962707803491e-06,-0.720092698188179,2.18104710993622,0.000971076644443514,1.072052,1.0774695,0.00541750000000008,10.1468806666667,35.323174,29.286381,0.00014300497536948,1.07380999625616,4.1330303030331e-05,1.07615784727273,0.016238289,0.016778639,2.21629999999987e-05,-4.24337722628756,-3.40971147227193,-3.31484236973562,-4.14309751398647,-0.0223328294545229,-4.14309751398649,-3.13908035390357,-0.127925713642635,-0.12792897020014,-0.742119598988337,-3.14371102013523,-3.46694003959826,-5.77205337283085,-2.33778652127766,-3.01263047753365,-5.48022093887559,-0.142611592846158,0.338665046305147,-3.01274649105466,0.0302158513692018,0.0324049854043018,-2.26620108000814,1.00633255284396,1.54805972063465,1.46666570801358,-3.84464885247954,0.030927442557636,-4.38373141049574,0.0318759768803499,-1.78945973353115,-1.7752432698936,-4.65437145354372
15,691,-0.00022556334308621,-0.00117163155216463,0.000807494825906696,-0.000199580296150191,0.930560016425002,-0.00019958029615021,0.00236509872132962,0.73420689448393,0.734204067195966,0.177677354819619,0.000974821541507099,-0.000273813402898366,2.57835179871731e-06,-0.00807685320078755,-0.00275400391392298,7.9174497502259e-06,-0.525305126226224,1.9945463756877,-0.000447094734828957,1.0661705,1.0698504,0.00397530000000001,9.95817366666668,35.418419,29.688587,9.58055665024941e-05,1.06781414541872,-3.98490909090664e-05,1.07097998181818,0.015845969,0.019886132,-0.003994543,-3.64673147733455,-2.93120894123551,-3.0928602517676,-3.69988233727533,-0.0312556118275076,-3.69988233727528,-2.62615072670888,-0.13418154162137,-0.13418321400818,-0.750367919991968,-3.01107488238606,-3.56254529739144,-5.58865782638603,-2.09275781047849,-2.56003544686997,-5.10141468428935,-0.279588361083625,0.299844138650928,-3.34960044453187,0.0278266618088489,0.0293230533891574,-2.40063009130228,0.998179695931945,1.54922917134021,1.472589528256,-4.01860925677653,0.0284956696934609,-4.39958158186334,0.0297813533088389,-1.80008119803345,-1.70144968215546,-2.39853289943661
16,788,-0.000563602421663953,-0.00142801458487624,0.00104767069767157,-0.000325465632377688,0.963127246208347,-0.000325465632377701,0.00410491340812007,0.753984634515578,0.753981436003103,0.184094280876736,0.0010899891679029,-0.000272315907308137,3.20995344661188e-06,-0.0103285530729925,-0.00338181666733064,1.15784462181315e-05,-0.824417552254866,2.26655101557016,-0.000756533030718209,1.0851147,1.089039,0.00399169999999982,9.92473833333333,36.725986,29.957376,8.54903940886942e-05,1.08711290886699,-9.06121212116387e-06,1.08926581090909,0.016205151,0.016449727,-6.60869999999994e-05,-3.24902714949981,-2.84526735691634,-2.97977520271275,-3.48749486410574,-0.0163163310733886,-3.48749486410572,-2.38669599975581,-0.122637504545467,-0.122639346889729,-0.734959703197536,-2.96257781797073,-3.56492698864768,-5.49350126604565,-1.9859605145335,-2.47084993976748,-4.93634971730696,-0.08385277045143,0.355365498612561,-3.12117210565072,0.0354756468889322,0.0370434327231884,-2.39884210597197,0.996719065370922,1.56497346432917,1.47650377035493,-4.06808268092845,0.0362746527811907,-5.04281370272917,0.0371338725240058,-1.79034691784614,-1.78384130521415,-4.17988396235286
17,534,-0.000696361624228982,-0.00197204096716808,0.000888097120150386,-0.0448256701594208,2.65630746534522,-0.000541138916594519,0.00863102846004367,1.59366371113641,1.59102226308704,24.7302461078234,0.0514373614039258,0.0472040188884047,1.103643285906,-0.0152524036178606,-0.00660982338048477,2.28985427506438e-05,-0.343408240472157,1.97298897712364,-0.00341686877814307,1.07263,1.0735315,0.00309420000000005,9.02111500000002,35.33913,29.808681,-3.31313793103096e-05,1.07466791586207,-6.09096969696895e-05,1.07541506727273,0.015036267,0.015740737,-0.000580528000000002,-3.15716517041631,-2.70508406726994,-3.0515395382315,-1.3484732088631,0.424278342824928,-3.26669123218366,-2.06393745134048,0.20239668355571,0.201676256747903,1.39322843834827,-1.28872131763255,-1.32602102452787,0.0428287255707047,-1.8166617106964,-2.17981014503867,-4.64019215501783,-0.464189287658949,0.295124658902597,-2.46637169958071,0.0304499394219924,0.0308147922054039,-2.50945161820963,0.955260219185005,1.54825585357906,1.47434275942428,-4.47976048339402,0.0312742832381622,-4.21531356114082,0.0315761169351884,-1.82285997109356,-1.80297493731749,-3.23617682854861
18,559,-0.000644093906530661,-0.00203544268926933,0.0013944920090287,-0.0448097123397331,2.67284203798172,-0.00052013081484531,0.00853975163657624,1.60360297414826,1.60072631621526,24.7344614760816,0.0497656703835209,0.0453412637677153,1.09552724650933,-0.0165279204231533,-0.00616144462270581,2.74168274108168e-05,-0.680781601271722,2.12964570225434,-0.00256016621645183,1.0824388,1.0846521,0.00348740000000003,8.96470633333334,37.615559,30.108334,1.55546798029635e-05,1.08425558719212,6.07212121213953e-06,1.08458879090909,0.014894895,0.015348774,-0.000203807,-3.19105080948037,-2.69134112127991,-2.85558397006389,-1.34862784407329,0.426973293189757,-3.2838874159409,-2.06855475980665,0.205096853050534,0.204317084875017,1.39330245925196,-1.30307014125995,-1.34350637923164,0.0396231832308234,-1.7817817868136,-2.21031745047938,-4.56198280183287,-0.166992189959513,0.328307358201927,-2.59173183760048,0.0344033511467442,0.0352904614299487,-2.45749823678525,0.952536067473017,1.57536752019778,1.47868672513666,-4.80813892452554,0.0351316687552744,-5.21665956760699,0.0352651117429137,-1.82696255395154,-1.81392630854504,-3.69078090369973
19,1014,-0.000236820906735004,-0.000929212298410418,0.000583294717729046,-0.000178901446296598,0.961072282794549,-0.000178901446296615,0.00232620340946529,0.751294473382386,0.751289856474649,0.18354327940067,0.00073108724169063,-0.000188129316782856,1.32297672279702e-06,-0.00634313693237565,-0.00219429283285124,4.1984045484873e-06,-0.643735315335863,1.93529483841655,-0.000271136385994852,1.0792934,1.0829881,0.00373349999999983,11.4470063333334,34.783005,29.632397,6.67541379310581e-05,1.08143670965517,2.00812121212168e-05,1.08234364909091,0.016472535,0.016937815,-9.14399999999913e-06,-3.6255799603999,-3.03188505081279,-3.23411195648875,-3.74738614844273,-0.0172439475673821,-3.74738614844269,-2.63335231207279,-0.124189805873887,-0.12419247473914,-0.736261512945007,-3.1360307949654,-3.72554352170147,-5.87844779696877,-2.19769591317557,-2.65870541540985,-5.3769157161322,-0.191292664811091,0.286747138317737,-3.56681219700299,0.0331395213093558,0.0346236845729395,-2.42788384433574,1.05869192310323,1.54136709918891,1.47176678350057,-4.17552180824166,0.0340011077308945,-4.69721007630451,0.0343651731627992,-1.78323956101274,-1.7711426149408,-5.03886378261282
20,1017,-4.12954851695099e-05,-0.0007841838487736,0.00067047236341083,-0.000127640282593257,0.963329162343818,-0.000127640282593251,0.00164466210897636,0.752781368857445,0.752779513753573,0.180363380923858,0.000735637827394476,-0.00014570814103487,1.55562350156918e-06,-0.00526600995440984,-0.00157073084537069,3.25427087448874e-06,-0.758816586712263,1.97362908212603,0.000342459313793064,1.0745355,1.0784962,0.00396849999999982,12.147216,36.837139,30.340269,8.47953201970523e-05,1.07632132315271,2.6262424242425e-05,1.07753997818182,0.016390581,0.016687831,-4.86200000000131e-06,-4.38409742711236,-3.10558210677024,-3.17361911887956,-3.8940122429574,-0.016225292352373,-3.89401224295742,-2.78392331308185,-0.123331138122952,-0.123332208370438,-0.743851632409527,-3.13333594690772,-3.83651618256256,-5.80809550437472,-2.27851832427644,-2.80389822768112,-5.48754630069244,-0.119863184585064,0.295265536012386,-3.46539101787888,0.0312207680819316,0.0328186192374154,-2.40137361535837,1.08447675411704,1.56628589283963,1.48201942696811,-4.07162811553432,0.0319419442297326,-4.58066518736635,0.032433392040819,-1.78540565163866,-1.77760010705627,-5.31318504549257
21,854,1.23535934788311e-05,-0.000562190945608926,0.000522952828747091,-9.83004291961136e-05,0.968044611906197,-9.83004291961201e-05,0.00147711465914585,0.756166038246523,0.756164419094975,0.181121524185777,0.000660739201375019,-0.000195408451551996,1.25877394789474e-06,-0.00400039243990968,-0.000950518148528945,1.92948290350109e-06,-0.813871588804105,2.27697445961374,0.000778363268820526,1.0752345,1.0793725,0.00413799999999998,12.1301266666667,37.918663,30.416042,9.86955172413909e-05,1.07692525103448,1.90024242424551e-05,1.07867805818182,0.016397864,0.016699277,-1.12639999999969e-05,-4.90820669414332,-3.25011615322119,-3.28153748348217,-4.00744458596139,-0.014104627962015,-4.00744458596136,-2.83058579182304,-0.121382832042706,-0.121383761983089,-0.742029935772922,-3.1799699259209,-3.7090566566714,-5.90005225400368,-2.39789740214025,-3.02203958660419,-5.71455906521284,-0.0894441119081814,0.357358159244467,-3.10881766673373,0.0315031907164912,0.0331713490169542,-2.38320951367029,1.08386533593229,1.57885301585065,1.48310269921744,-4.00570257257393,0.032185560131918,-4.72119099020716,0.0328918446662279,-1.78521271984432,-1.77730233134988,-4.94830735820208
22,870,-0.000318716756575239,-0.00140510864557546,0.000919821967682045,-0.000273005778043443,0.978121202141991,-0.000273005778043465,0.00360484245226456,0.762271180676612,0.762269200446302,0.185062537887039,0.00105115970729844,-0.000154256447456751,2.60329570875762e-06,-0.0086558167342885,-0.00321039418428317,8.24505245006585e-06,-0.598583084892145,1.8446304480287,-0.000646074208998426,1.0876514,1.0913539,0.00384859999999998,10.7648196666667,36.224262,30.199949,6.59589655172738e-05,1.08977208758621,-1.55696969696658e-05,1.09163934727273,0.016129743,0.016376387,1.28879999999991e-05,-3.49659510283673,-2.85229009401536,-3.03629622258415,-3.56382816121628,-0.00960732705279659,-3.56382816121625,-2.44311371114075,-0.117890499369041,-0.117891627581986,-0.732681486355418,-2.97833129469575,-3.81175667470885,-5.58447649751216,-2.06269194726174,-2.49344164000983,-5.08380657729033,-0.22287555986769,0.265909372957137,-3.18971759546073,0.0364897231972756,0.0379656047536474,-2.4146972244783,1.03200675887594,1.55899954631457,1.48000620954532,-4.18072616433229,0.0373356800935725,-4.80771983994843,0.0380791810794384,-1.79237255229926,-1.78578190715682,-4.88981447258887
